ВидНоменклатуры	Код	Артикул	Наименование	Ед
Наполнение шкафов	2183	220.CR 03	Соединитель перпендикулярный 3-х труб, хром	шт
Наполнение шкафов	2184	BR6GR	Щеточный уплотнитель, серый, 6 мм INTEGRO	м
Наполнение шкафов	2185	ROL-COMPLECT/А1	Комплект роликов на 1 дверь ROL асимм. INTEGRO	компл
Наполнение шкафов	2186	КП 80 01-04	Уплотнитель 4+ мм INTEGRO	м
Наполнение шкафов	2187	КП 80 07-07	Уплотнитель 4+ мм INTEGRO WOODLINE	м
ДСП	2215		ДСП 10мм Белый классический W960 ST9 Шуя	м2
ДСП	2217		ЛДСП 16мм Ясень Шимо темный 2750*1830	м2
Кромка	2218		Кромка ПВХ 0,4*19 Ясень Шимо Темный D1405/WH1384	пог. м
Кромка	2219		Кромка ПВХ 2*19 Ясень Шимо Темный D1405/WH1384	пог. м
ДСП	2220		ЛДСП 16мм Вишня Оксфорд 2750*1830	м2
Кромка	2221		Кромка ПВХ 0,4*19 Вишня Оксфорд D1407/WH1386	пог. м
Кромка	2222		Кромка ПВХ 2*19 Вишня Оксфорд D1407/WH1386	пог. м
Кромка	2223		Кромка ПВХ 2*19 Черный U361/WS340	пог. м
ДСП	2224		ДСП 10мм Белый премиум (древесина) W1000 ST19 Шуя	м2
Кромка	2225		Кромка ПВХ 0,8*19 Титан 101112М Рехау	пог. м
Фанера	2228	82017896	Фанера FF 1/1 15*2440*1220 (темно-коричневая)	м2
Опоры	2233	8038	Колесо прямоходное; ролик откатной 1мм тип 3 (Россия)	шт
Заглушки	2234	106752	Заглушка самоклеящаяся, цвет груша 7043 D=20 мм, 24 штук Турция	шт
Заглушки	2235	106732	Заглушка самоклеящаяся, цвет вишня 7061 D=20 мм, 24 штук Турция	шт
Заглушки	2236	106751	Заглушка самоклеящаяся, цвет груша 7043 D=14 мм, 50 штук Турция	шт
Кромка	2237		Кромка ПВХ 2*19 Титан 6430 (100п.м)	пог. м
ДСП	2238		ДСП 16мм Дуб Корбридж натур. Н3395 ST12	м2
Кромка	2239		Кромка ПВХ 2*42 Черный 2200	пог. м
Кромка	2240		Кромка ПВХ 2*19 Дуб светлый 4227	пог. м
Пленки ПВХ	2241	674-2A	Пленка ПВХ GreenWood LW 674-2A Дуб мадейра песок	м2
Столешницы	2242		Столешница Черный королевский жемчуг №62 38мм 3,05м, Скиф	пог. м
[другие материалы]	2243	AX202/90	Механизм цилиндровый с вертушкой AJAX AX202/90 mm (40+10+40) CP хром 5 ключей	шт
Зеркала и стекла	2246		Стекло 4мм Планибель бронз, 1109*392, с обработкой	шт
Петли мебельные	2279	H961A02/BN	Петля NEO PROFI PUSH с эксц. рег. накладная 105* без пружины, clip-on, черный никель, Boyard	шт
Петли мебельные	2280	H5012BN	Планка монтажная NEO с экс. рег. H=2 черный никель, BOYARD	шт
Стяжки/эксцентрики/евровинты	2281	110381	Стяжка для соединения столешниц L=65мм	шт
Опоры	2282	125274	Опора Поло, регулируемая 40х40, H100-120, квадратная, пластиковая, черный матовый	шт
Ручки	2283	195187	Ручка мебельная, скоба URSULA RS433BL.4/96, 96 мм, черный матовый, Boyard	шт
