ВидНоменклатуры	Код	Артикул	Наименование	Ед
Сетки и решетки	1076	VG-2020 BL	Вентиляционная решетка универсальная, 227x68 мм, пластик, черный	шт
Столешницы	1077		Столешница Бронзовый Каспий №75 38мм 4,2м, Скиф	пог. м
Стеновые панели	1078		Стеновая панель Бронзовый Каспий №75 6мм 4,2м, Скиф	пог. м
Планки торцевые	1079	00-00004305	Планка торцевая 38мм, матовые	шт
Планки торцевые	1080	00-00004304	Планка соединительная угловая 38мм, матовые	шт
Планки торцевые	1081	00-00004307	Планка торцевая 38мм, черная	шт
Планки торцевые	1082	00-00019531	Планка соединительная угловая 38мм, черная	шт
Фанера	1084		Фанера ФК 2/3 (ВВ/СР) 12*1525*1525 ш2	м2
ДСП	1091	W3344G	ЛДСП Белый гладкий W3344G 2500*1830*16	м2
ДСП	1096		ДСП 16мм Дуб Денвер трюфель H1399 ST10 Шуя	м2
Кромка	1097		Кромка ABS Дуб Денвер трюфель H1399 ST10 б/к 19*0,4	пог. м
Зеркала и стекла	1102		Стекло 4мм матовое, 1109*392, с обработкой	шт
Кромка	1103		Кромка ABS Шелк серый U707 ST9 б/к 19х2 мм	пог. м
ЛКМ	1109	FLX-BP84077-WH/76	ПУ-грунт ФЛЕКС 840.77 белый для МДФ, н.у. 30кг	кг
ЛКМ	1110	FLX-VA89325/25	Лак акриловый ФЛЕКС 893.25 полуматовый, н.у. 25л	л
ЛКМ	1111	LKA000478/1272	ПУ-эмаль матовая FLEX 855.10.0000 (бесцветный) RAL 7047 TELEGRAY 4 (2л/2,32кг)	л
ДСП	1112		ЛДСП 16мм Дуб Бунратти 2750*1830	м2
Кромка	1113		Кромка ПВХ 0,4*19 Дуб Бунратти / вяз монро светлый 156 (200м)	пог. м
Кромка	1114		Кромка ПВХ 1*19 Дуб Бунратти / вяз монро светлый 156 (200м)	пог. м
Стяжки/эксцентрики/евровинты	1115	9442	Эксцентрик быстромонтируемый S16 серебро	шт
Стяжки/эксцентрики/евровинты	1116	9443	Стойка к эксцентрику быстромонтируемому, саморез 11мм	шт
Системы выдвижения	1117	10315	Фиксатор Clip-on для ящика Unihopper Magic Box (комплект), DBE.SL1	компл
Системы выдвижения	1118	10325	Адаптер задней панели Unihopper Magic Box H170 (комплект), DA1103E1.170	компл
Системы выдвижения	1119	10327	Боковины для ящика Unihopper Magic Box H170, 450мм (комплект), DBE.170.450W	компл
Системы выдвижения	1120	10313	Заглушка пластиковая для ящика Unihopper Magic Box (комплект), DA1101E1	компл
Системы выдвижения	1121	10328	Крепление фасада для ящика Unihopper Magic Box H170 (комплект), DA1102E3	компл
Системы выдвижения	1122	10311	Направляющие для ящика Unihopper Magic Box, 450мм (комплект), DBE.450SL	компл
Системы выдвижения	1123	10316	Адаптер задней панели Unihopper Magic Box H80 (комплект), DA1103E1.80	компл
Системы выдвижения	1124	10309	Боковины для ящика Unihopper Magic Box H80, 450мм (комплект), DBE.80.450W	компл
Системы выдвижения	1125	10317	Квадратный рейлинг 450mm для ящика Unihopper Magic Box (комплект), DA2101E1.450	компл
Системы выдвижения	1126	10314	Крепление фасада для ящика Unihopper Magic Box H80 (комплект), DA1102E1	компл
Пленки ПВХ	1136		Пленка ПВХ Alda AL-01 Агератум	м2
Планки торцевые	1138	101831	Планка черная матовая, угловая для столешниц 38мм, R3	шт
Цоколи	1139	105964	Цоколь кухонный ПВХ 150х4000мм, белый	пог. м
Наполнение кухонь	1140	114946	Сушилка для посуды в модуль 600мм, нержавеющая сталь	шт
Цоколи	1141	117557	Угловое соединение для цоколя 90 H-150 мм, белый	шт
Системы выдвижения	1142	9230049	Комплект ящика InnoTech Atira 70х520 белый, полн. выдв. Silent System, глубина 550мм, Hettich	компл
Системы выдвижения	1143	9230055	Комплект ящика InnoTech Atira 144х520 белый с релингом, полн.выдв. Silent System, гл.550мм, Hettich	компл
Системы выдвижения	1144	9230059	Комплект ящика InnoTech Atira 176х420 белый с релингом, полн.выдв. Silent System, гл.450мм, Hettich	компл
Системы выдвижения	1145	9230061	Комплект ящика InnoTech Atira 176х520 белый с релингом, полн. выдв. Silent System, гл.550мм, Hettich	компл
Петли мебельные	1146	H305A02	Петля NEO CASUAL накладная 105* с амортизатором, clip-on, H305A02, BOYARD	шт
Петли мебельные	1147	H74202	Петля NEO LINE для фальшпанели с амортизатором, clip-on, H74202, BOYARD	шт
Наполнение кухонь	1148	DB6141Zn/450	Комплект направляющих с дов. для бутылочниц KR25/L и для KR08/L - BELLA и Bellissimo, Boyard, 195521	компл
Наполнение кухонь	1149	KR07/1/0/200	Бутылочница KR08, 200 мм без направляющих Bellissimo, хром, (А)Boyard, 195929	шт
Столешницы	1150		Столешница EGGER H3730 ST10 Гикори натуральный 4100х600х38	пог. м
Метизы	1151	81929008	Пластина опорная 60x60x2 мм, гайка M8, оцинкованная сталь	шт
Метизы	1152	82182134	Саморезы с пресс-шайбой STANDERS оцинкованные 4.2x25, с буром 20 шт.	шт
Метизы	1153	83387765	Дюбель потайной Standers PND L 6х50 мм, с шурупом 4х60 мм, нейлон, 10 шт.	шт
Метизы	1154	84011053	Дюбель Standers для листовых материалов PBA L 37 с шурупом 4.5х35 мм, 4 шт.	шт
Метизы	1165	82182124	Саморезы с пресс-шайбой STANDERS 4.2x75 оцинкованные с острым наконечником, 40 шт.	шт
Петли мебельные	1166	14277473	Петля мебельная карточная Левша 55х30 мм сталь цвет золото 2 шт.	шт
Кромка	1168		Кромка ПВХ 0,4*19 шимо св. 3127 С Ясень Шимо светлый	пог. м
Кромка	1169		Кромка ПВХ 2*19 шимо св. 3127 С Ясень Шимо светлый	пог. м
Кромка	1170		Кромка ПВХ 2*25 шимо св. 3127 С Ясень Шимо светлый	пог. м
[другие материалы]	1171	11460	Кабель-канал D60мм серый (№18)	шт
Опоры	1172	113033	Опора колесная D50 черная с хром. элементами, на площадке, со стопором	шт
Ручки	1173	181437	Ручка мебельная, кнопка 6045-03, Китай, металл, матовый хром	шт
Направляющие	1174	13004	Направляющие шариковые полного выдвижения MF с доводчиком, ширина 45мм, длина 450мм, BBS.45.450.SC	компл
Ручки	1175	7548	Ручка-скоба 63-96, матовый хром	шт
Опоры	1176	4824	Опора кух. рег. 145-175мм, разборная, черная (без винта и клипсы), LKCH.145.175.BLC	шт
Ручки	1177	R296Z.160BLQ99	Ручка мебельная JET 296 м.ц.160мм,замак мат.черн	шт
Каркасы	1178		Каркас двойного рабочего стола 1400*1600	шт
Каркасы	1179		Каркас стола руководителя	шт
Каркасы	1180		Каркас рабочего стола 1400*800	шт
Каркасы	1181		Каркас шкафа-пенала 1900*360*380	шт
Метизы	1182	87959883	Саморезы по металлу оцинкованные 4.2x19 мм 1 кг	шт
Наполнение шкафов	1186	112680	Полка сетчатая 300х3000мм, серая, 12.02.01.2.0.1	шт
Наполнение шкафов	1187	119226	Полка сетчатая 500х3000мм, серая, 12.02.03.2.0.1	шт
Кромка	1196		Кромка ABS Дуб Чарльстон H3154 ST36 б/к 28*2	пог. м
Кромка	1197		Кромка ABS Диамант серый U963 ST9 б/к 19*2	пог. м
ДСП	1198		ДСП 25мм Дуб Чарльстон темно-коричневый H3154 ST36	м2
ДСП	1199		ДСП 16мм Диамант серый U963 ST9 Шуя	м2
Кромка	1201		Кромка ABS 1*19 Дуб Денвер трюфель 42718/H1399	пог. м
Кромка	1202		Кромка ABS Дуб Денвер трюфель 42718/H1399 35/0,45	пог. м
Кромка	1203		Кромка ПВХ 0,4*19 Клауд 101131U Рехау	пог. м
Кромка	1204		Кромка ПВХ 2*19 Клауд 101131U Рехау	пог. м
ДСП	1205		ЛДСП 16мм Клауд K 2750*1830 Lamarty	м2
ДСП	1206		ДСП 16мм Дуб Чарльстон темно-коричневый H3154 ST36	м2
Столешницы	1208		Столешница EGGER F205 ST9 Камень Пьетра Гриджиа антрацит 4100х600х38	пог. м
Кромка	1209		Кромка ABS Дуб Чарльстон темно-коричневый H3154 ST36 б/к 19*0,4	пог. м
Столешницы	1210		Кромка ABS Камень Пьетра Гриджиа антрацит F205 ST9 б/к 43х1,5мм	пог. м
Планки торцевые	1217	100482	Планка матовая, торцевая для мебельных щитов 10мм, L=600мм	шт
Планки торцевые	1218	101832	Планка ЧЕРНАЯ, торцевая для столешниц до 38мм, R3	шт
Направляющие	1219	15402	Направляющие шариковые 350 мм, скрытого типа неполного выдвижения с доводчиком и фиксатором	компл
Пленки ПВХ	1221	R32V-S40	Пленка ПВХ R32V-S40 Супермат антрацит	м2
МДФ	1222		МДФ ST односторонняя белая ламинированная W980SM 2800*2070*19 мм EGGER	м2
[другие материалы]	1227	VS-00026921	Держатель экрана стола (компл из 2шт.) МК.ДЭС.004.AN антрацит	шт
Профили	1228	1232	Штангодержатель D=25мм хром	шт
Петли мебельные	1229	8336	Петля накладная MF-201A, Slide-On	шт
Петли мебельные	1230	38861	Петля накладная FGV MS Slide-On 110*	шт
Петли мебельные	1231	38951	Установочная площадка FGV Genios Slide-On (2мм) саморез	шт
Опоры	1235	125268	Опора Рондо альто Неро, регулируемая D50, H30+5, круглая, пластиковая, черный матовый	шт
Направляющие	1236	190483	Направляющие скр для ящиков, полн. выдвижения, Push to Open в комплекте с фиксаторами, 450 мм, LID	компл
Петли мебельные	1237	10170042	Петля STAR PUSH OPEN накладная 110* без пружины , изгиб 0 мм, 48AX slide-on, Samet	шт
Петли мебельные	1238	102412	Планка монтажная для петли STAR, дистанция 7 мм, Samet	шт
Вкладыши	1239		Органайзер выдвижной серый ML.104-535x350x40	шт
Вкладыши	1240		Органайзер выдвижной серый ML.104-410x350x40	шт
Светодиодные ленты	1241	100826	Светодиодная лента 120 диодов/м.п 2835 нейтральный 12V, 9,6W/м.п., 840 Lm/m, IP33	пог. м
Светодиодные ленты	1242	101081	Блок питания LED 12V/ 60W, в мет. кожухе (узкий), 160х40х30 DFB4SL мм IP20	шт
Светодиодные ленты	1243	101467	Датчик на взмах в профиль диммируемый с памятью 12-24V/60-120W, 48х10х5мм	шт
Светодиодные ленты	1244	127730	Светодиодная лента 120 диодов/м.п 2835 тепл. белый 12V, 9,6W/м.п., 840 Lm/m, IP33	пог. м
Метизы	1277	13617165	Болт с гайкой и шайбой M8x100 мм, 2 шт.	шт
Метизы	1281	82348102	Саморезы для дерева нержавеющая сталь 5x60, 4 шт.	шт
ЛКМ	1298	LKA000583/1272	ПУ-эмаль матовая FLEX 855.10.0000 (бесцветный) NCS S 3500-N (1л/1.15кг)	л
ЛКМ	1299	FLX-HP821/71	Отвердитель FLEX 821.00 для ПУ, н.у. 12кг	кг
ЛКМ	1300	FLX-HP856/71	Отвердитель FLEX 856.00 для ПУ, н.у. 12кг	кг
Кромка	1339		Кромка ПВХ 2*42 Дуб бурбон 42977 5848 К082	пог. м
Клеи	1340		Клей-расплав Unimelt 532, Турция	кг
Пленки ПВХ	1341	622-2	Пленка ПВХ GreenWood LW 622-2 Дуб Мелфорд грей	м2
Пленки ПВХ	1342	OR-14	Пленка ПВХ Organza OR-14 Крокус	м2
Пленки ПВХ	1343	1847-SFT	Пленка ПВХ GreenWood AS 1847-SFT Амарок софт	м2
Пленки ПВХ	1349	444-96163	Пленка ПВХ 444-96163 перванш аргайл софт тач 0,25х1400мм (252м2)	м2
Подвесы	1353	68111	Подвеска регулируемая тип V белая, левая, KZR5.WHT.L	шт
Подвесы	1354	68112	Подвеска регулируемая тип V белая, правая, KZR5.WHT.R	шт
Стяжки/эксцентрики/евровинты	1355	11555	Евровинт 6.3x13 с потайной головкой	шт
Ручки	1356	11931	Ручка-скоба 650 - L224, хром	шт
Наполнение кухонь	1383	12871	Посудосушитель 1-уровневый 600 мм 280х565х65, нержавеющая сталь (комплект)	шт
ДСП	1410		ЛДСП 16мм Светло-серый 2101 2750*1830	м2
Пленки ПВХ	1437	664-SFT	Пленка ПВХ GreenWood LW 664-SFT Орех NY смоук софт	м2
Пленки ПВХ	1438	5029	Пленка ПВХ 5029 Дуб темный	м2
Фанера	1439	11988093	Фанера 12 мм ФК шлифованная 1525x1525 мм сорт 3/4 2.325 м²	м2
Наполнение шкафов	1440	201075	Вешалка выдвижная 300мм, никель	шт
Наполнение шкафов	1441	201076	Вешалка выдвижная 350мм, никель	шт
Ручной инструмент	1446	56, CNFM.Z.H4	Ключ шестигранный для евровинта 4мм "S"-образный	шт
Заглушки	1447	103127	Заглушка-самоклейка d=14мм, легно табак 313, лист 25шт.	шт
Заглушки	1448	103155	Заглушка-самоклейка d=20мм, легно табак 313, комплект 28шт.	шт
Заглушки	1449	103183	Заглушка-самоклейка d=14мм, дуб небраска 123, лист 25шт.	шт
Заглушки	1450	103184	Заглушка-самоклейка d=20мм, дуб небраска 123, лист 28шт.	шт
Клеи	1458	KLB0891/04	ПУ Клей-расплав KLEIBERIT ПУР 707.6.4026, натуральный, пакет 0,4кг	кг
ЛКМ	1459	LIG9147/26	Разбавитель Ультимакс ДЛ 147 для полиуретановых ЛКМ н.у. 24кг /тара 30л/	кг
ДСП	1463		ЛДСП 16мм Черный фон 2750*1830, Шагрень	м2
ДСП	1464		ЛДСП 16мм Дуб Честерфилд 2750*1830, Вуд лайн	м2
ДСП	1465		ЛДСП 16мм Серый темный 2750*1830, Шагрень	м2
Кромка	1466		Кромка ПВХ 0,4*19 антрацит, Серый темный	пог. м
Кромка	1467		Кромка ПВХ 0,8*19 антрацит, Серый темный	пог. м
Кромка	1468		Кромка ПВХ 0,4*19 Дуб харбор золотой К361, Дуб Честерфилд 003	пог. м
Кромка	1469		Кромка ПВХ 0,8*19 Дуб харбор золотой К361, Дуб Честерфилд 003	пог. м
Столешницы	1475		Столешница EGGER F094 ST15 Мрамор Чиполлино черная медь 4100х600х38	пог. м
Профили	1476	76281	Труба (штанга) 30*15 3,0м сталь, овальная, хром (упаковка полиэтилен)	пог. м
Профили	1477	4973	Штангодержатель для трубы овальной 30x15 мм, стальной	шт
Стяжки/эксцентрики/евровинты	1478	6363	Евровинт конфирмат 7,0х70 стальной, оцинкованный	шт
ХДФ	1479		ХДФ лакированная односторонняя Бежевый 522РЕ 2800*2070*3	м2
Кромка	1480		Кромка ABS Хромикс бронза F642 ST16 б/к 19*0,4	пог. м
Кромка	1481		Кромка ABS Дуб Чарльстон H3154 ST36 б/к 43*2	пог. м
Опоры	1504	7323	Опора кух. рег. 145-165мм, разборная, черная (без клипсы) под саморез	шт
Подвесы	1505	10852	Подвеска кухонная стальная с белой заглушкой до 80 кг (2 шт)	компл
Ручки	1506	7182	Ручка-скоба 450-160, алюминий	шт
Опоры	1507	7095	Клипса универсальная черная (для кух.опоры под саморез)	шт
Планки торцевые	1508	5062	Планка д/столешниц "Европа" 38мм 1516/Е 600мм угловая, R9x38x600.Cor	шт
Подвесы	1509	122322	Накладка декоративная для навеса Strong, №11-Бук, левая	шт
Подвесы	1510	122323	Накладка декоративная для навеса Strong, №11-Бук, правая	шт
Стеновые панели	1511		Стеновая панель 4100х640х8 H1145 ST10 Дуб Бардолино нат / F094 ST15 Мрамор Чиполлино чёрная медь	пог. м
Стеновые панели	1512		Стеновая панель 4100х640х8 F502 ST2 Алюминий мелкоматированный / F484 ST87 Спаркл Грэйн рустикальный	пог. м
Столешницы	1513		Столешница 4100х600х38 Спаркл Грэйн рустикальный F484 ST87 постформинг, Egger	пог. м
ДСП	1524		ДСП 16мм Бежевый песок U156 ST9 Шуя	м2
Кромка	1525		Кромка ABS Бежевый песок U156 ST9 б/к 19*0,4 мм	пог. м
Кромка	1527		Кромка ABS Бежевый песок U156 ST9 б/к 19*2 мм	пог. м
ДСП	1528		ДСП 16мм Трюфель коричневый U748 ST9 Шуя	м2
Кромка	1529		Кромка ABS Трюфель коричневый U748 ST9 б/к 19*0,4 мм	пог. м
Кромка	1530		Кромка ABS Трюфель коричневый U748 ST9 б/к 19*2 мм	пог. м
Опоры	1552		Опора регулируемая (Н100) №8 черный (матовый RAL 9005)	шт
ДСП	1553		ЛДСП M.100.SO3 Белый воздушный (вельвет) 2800*2070*16	м2
Кромка	1554		Кромка ABS 2*19 Дуб Табачный K004, GP-Plast (100м)	пог. м
Заглушки	1555		Заглушка-самоклейка d=17мм, кашемир, лист 70шт.	шт
Кромка	1557		Кромка ПВХ 2*19 Кашемир U495/U474	пог. м
ДСП	1558		ЛДСП 16мм Беж Камео 2750*1830, Шагрень	м2
Кромка	1559		Кромка ПВХ 0,4*19 Беж камео	пог. м
Планки торцевые	1560	10892	Планка угловая для столешниц 38мм 1525 е	шт
Кромка	1561		Кромка ПВХ 0,4*19 Дуб Табачный крафт K004 PR (2000м)	пог. м
Заглушки	1564	102859	Заглушка-самоклейка d=14мм, орех селект каминный 351, лист 25шт.	шт
Заглушки	1565	103132	Заглушка-самоклейка d=14мм, орех макиато 850, лист 25шт.	шт
ДСП	1566	W3344G	ЛДСП Белый гладкий W3344G 2800*2070*16	м2
Наполнение шкафов	1568	11319	Крючок R24, 2-рожковый, черный матовый	шт
Наполнение кухонь	1569	4819	Посудосушитель 600 мм 565х280х65мм, нерж. сталь (комплект)	шт
Заглушки	1570	103192	Заглушка-самоклейка d=20мм, базальт 092, лист 28шт.	шт
Светодиодные ленты	1571	118427	Профиль угловой радиусный алюм д/светодиод ленты, анод. серебро, с мат. экраном, 16х16х2000 мм SP280	шт
Светодиодные ленты	1572	119339	Кабель питания для светодиодной ленты 3528 IP20 (8мм) 60 диодов/м.п., 0,15м, LR24	шт
Светодиодные ленты	1573	120886	Блок питания LED 12V/ 40W, в мет. кожухе 85х58х34 мм, IP20, LE12V-40W	шт
Системы выдвижения	1575	9228890	Комплект ящика InnoTech Atira 70х470 серый, полн. выдв. Silent System, гл.500мм, Hettich	компл
Системы выдвижения	1577	9228897	Комплект ящика InnoTech Atira 144х470 серый с релингом, полн. выдв. Silent System, гл.500мм, Hettich	компл
Системы выдвижения	1578	9228913	Комплект ящика InnoTech Atira 176х470 серый с релингом, полн. выдв. Silent System, гл.500мм, Hettich	компл
Петли мебельные	1582	9088021	Петля быстрого монтажа Sensys 8639I TH 52 для фальшпанели 90*, с демпфером, Hettich	шт
Петли мебельные	1583	9090109	Петля быстрого монтажа Intermat 9930 TH 52, чашка Sensys "карусельная" 50/65*, Hettich	шт
Петли мебельные	1584	9088251/9088251/9082614	Заглушка для чашки петли Sensys, стальная, Hettich	шт
Петли мебельные	1588	9088250/9082774	Заглушка для консоли петли Hettich Sensys, стальная, с логотипом	шт
Петли мебельные	1589	9071575	Планка монтажная для петли Hettich Sensys/Intermat H=0, без винтов	шт
Петли мебельные	1590	9071577	Планка монтажная для петли Sensys/Intermat H=3, без винтов, Hettich	шт
Петли мебельные	1591	9099540	Петля быстрого монтажа Sensys 8657I TH 52 накладная 165*, с демпфером, Hettich	шт
Системы выдвижения	1592	9245475	Комплект ящика Hettich InnoTech Atira 54х470 серый, полн. выдв. Silent System, гл. 500мм	компл
Заглушки	1597	102914	Заглушка-самоклейка d=20мм, орех селект каминный 351, лист 28шт.	шт
Заглушки	1598	103160	Заглушка-самоклейка d=20мм, орех макиато 850, лист 28шт.	шт
Толкатели	1599	112989	Толкатель фасадов нажимной (малый), накладной	шт
Подъемные механизмы	1600	123273	Газ-лифт 60N секретерный Art 595K20060603000, FGV	компл
Кромка	1602	120169	Кромка ABS Дуб Чарльстон темно-коричневый H3154 ST36 б/к 19*2	пог. м
Ручки	1646	S-4060-224	Ручка-скоба Kerron 224мм, хром	шт
Заглушки	1650	106881	Заглушка-самоклейка d=14мм, тиковое дерево 3058, лист 50шт.	шт
Метизы	1652	82351101	Болт М8x16 мм DIN 933, нержавеющая сталь, упак. 6 шт.	шт
Профили	1662		Профиль П-обр. под 4мм 10*6*1мм, черный; 3,05м	м
Толкатели	1676	82095632	Толкатель Titus Pl нажимного открытия/закрытия	шт
ХДФ	1677		ХДФ лакированная односторонняя Антрацит 2800*2070*3	м2
ХДФ	1678		ХДФ лакированная односторонняя Холодный серый 2800*2070*3	м2
Кромка	1679		Кромка ABS 0,5*19 Дуб Шамони (200м)	пог. м
Толкатели	1680	110053	Защелка магнитная, белая	шт
Ручки	1694	11404	Ручка-скоба H60-96/150, черный	шт
Ручки	1695	11410	Ручка-скоба H60-320/400, черный	шт
Ручки	1696	11418	Ручка-скоба H60-864/1000, черный	шт
Заглушки	1701	106882	Заглушка-самоклейка d=20мм, тиковое дерево 3058, лист 24шт.	шт
Опоры	1702	18008	Колесная опора сдвоенная усиленная с поворотной площадкой d=60 с тормозом	шт
Клеи	1714		Клей ПУ DUDIPUR D53	кг
Кромка	1715		Кромка ПВХ 1*35 мм, Белая гладкая 2001	пог. м
Кромка	1716		Кромка ПВХ 2*19 Дуб Атланта 117, GP-Plast (100м)	пог. м
Заглушки	1719		Заглушка самоклеящаяся, цвет белый D=14мм	шт
Заглушки	1720		Заглушка самоклеящаяся, цвет белый гладкий D=18мм	шт
Клеи	1721		Клей-расплав Powermelt MS 7515	кг
ЛКМ	1724	FLX-BL88977-WH/71	ПУ-грунт-изолятор ФЛЕКС 889.77 белый для МДФ, н.у. 12кг	кг
ЛКМ	1725	FLX-HP889/66	Отвердитель FLEX 889.00 для ПУ, н.у. 6кг	кг
ЛКМ	1726	LKA000785/1272	ПУ-эмаль матовая FLEX 855.10.0000 (бесцветный) RAL 9005 JET BLACK (1л/0.98кг)	л
ЛКМ	1727	LKA000786/1272	ПУ-эмаль матовая FLEX 855.10.0000 (бесцветный) RAL 9003 SIGNAL WHITE (3л/4.03кг)	л
Кромка	1728	8685 ST	Кромка ПВХ 0,4*19 Белый шагрень 8685 ST	пог. м
Полкодержатели	1734	105433	Полкодержатель Permo SI20, прозрачный	шт
Полкодержатели	1735	105434	Полкодержатель Permo SI20, белый	шт
Полкодержатели	1736	105435	Полкодержатель Permo SI20, серый	шт
Полкодержатели	1737	119748	Полкодержатель дупло 5/5х16мм с пластиковым наконечником, пакет 100 шт.	шт
Петли мебельные	1738	171013	Петля для стеклянных дверей, комплект на 2 двери с двойной защёлкой, хром	компл
Кромка	1739	80191290	Кромочная лента мел. с клеем 0.4х19мм, Антрацит/Серый темный (ANTRACYT U1290,U12290), B2	пог. м
Кромка	1740	80192001	Кромочная лента мел. с клеем 0.4х19мм, Черный (CZARNA U2404,U12140), A2	пог. м
Кромка	1741	80192104	Кромочная лента мел. с клеем 0.4х19мм, Серый фон (SZARNY U2104,U12110), A2	пог. м
Кромка	1742	80192250	Кромочная лента мел. с клеем 0.4х19мм, Белый фон (BIALY W2250.W10050), A1	пог. м
Кромка	1743	80402250	Кромочная лента мел. с клеем 0.4х40мм, Белый фон, гладкая (BIALY W2250,W10050), A1	пог. м
Зеркала и стекла	1744		Стекло 4мм б/ц, 615*277, с обработкой	шт
Зеркала и стекла	1745		Стекло 4мм б/ц, 1259*305, с обработкой	шт
Опоры	1774	5961	Опора 40х40мм, h-100мм, алюминий, LDEC.19134.102	шт
Уголки мебельные	1775	8342	Уголок 20х20х16х1.5 ЦБ с ребром жесткости КУ20 (1520), SCRN.20х20х16.ZNW	шт
Ручки	1785	17417	Ручка BAGIO 128 мм, черный матовый, UZ-BAGIO-128-20M	шт
Ручки	1786	17420	Ручка BAGIO 320 мм, черный матовый, UZ-BAGIO-320-20M	шт
Толкатели	1790	TLK-03-GR	Упор-защелка фасада, серый	шт
[другой крепеж]	1791	90082	Держатель дистанционный пластиковый, 30мм, прозрачный	шт
Компакт плиты	1792		Компакт плита HPL 1962/S Восточная Аврора Abet 4200*1300*12мм Sei	м2
Профили	1795	105917	Уголок сборочный для профиля широкого с винтами, сплав.	шт
Профили	1796	106053	Профиль для фасадов широкий 20х45х3000, кант 8 мм, матовое серебро	м
ЛКМ	1802	FLX-HAF27/61	Отвердитель FLEX F27.00 для акрилов, н.у. 1,5кг	кг
ЛКМ	1803	FLX-VP83510/25	ПУ-лак ФЛЕКС 835.10 матовый 10Глосс, н.у.25л	л
Кромка	1804		Кромка ПВХ 2*19 Карамель-Туя/Акация 1277С (100 п.м)	пог. м
Кромка	1805		Кромка ПВХ 0,4*19 Карамель-Туя/Акация 1277С (200 п.м)	пог. м
